"","Time","scenario","summary_stat","incident_symptomatic","number"
"1",2020-03-01,"A","Median",0,0
"2",2020-03-02,"A","Median",1,0
"3",2020-03-03,"A","Median",3,0
"4",2020-03-04,"A","Median",3,0
"5",2020-03-05,"A","Median",4,0
"6",2020-03-06,"A","Median",4,0
"7",2020-03-07,"A","Median",5,0
"8",2020-03-08,"A","Median",6,0
"9",2020-03-09,"A","Median",10,0
"10",2020-03-10,"A","Median",10,0
"11",2020-03-11,"A","Median",12,0
"12",2020-03-12,"A","Median",12,0
"13",2020-03-13,"A","Median",12,0
"14",2020-03-14,"A","Median",12,0
"15",2020-03-15,"A","Median",12,0
"16",2020-03-16,"A","Median",12,0
"17",2020-03-17,"A","Median",11,0
"18",2020-03-18,"A","Median",12,0
"19",2020-03-19,"A","Median",14,0
"20",2020-03-20,"A","Median",14,0
"21",2020-03-21,"A","Median",14,0
"22",2020-03-22,"A","Median",14,0
"23",2020-03-23,"A","Median",14,0
"24",2020-03-24,"A","Median",14,0
"25",2020-03-25,"A","Median",14,0
"26",2020-03-26,"A","Median",15,0
"27",2020-03-27,"A","Median",15,0
"28",2020-03-28,"A","Median",17,0
"29",2020-03-29,"A","Median",18,0
"30",2020-03-30,"A","Median",18,0
"31",2020-03-31,"A","Median",17,0
"32",2020-04-01,"A","Median",16,0
"33",2020-04-02,"A","Median",16,0
"34",2020-04-03,"A","Median",16,0
"35",2020-04-04,"A","Median",16,0
"36",2020-04-05,"A","Median",16,0
"37",2020-04-06,"A","Median",16,0
"38",2020-04-07,"A","Median",14,0
"39",2020-04-08,"A","Median",14,0
"40",2020-04-09,"A","Median",15,0
"41",2020-04-10,"A","Median",16,0
"42",2020-04-11,"A","Median",15,0
"43",2020-04-12,"A","Median",15,0
"44",2020-04-13,"A","Median",17,0
"45",2020-04-14,"A","Median",17,0
"46",2020-04-15,"A","Median",16,0
"47",2020-04-16,"A","Median",17,0
"48",2020-04-17,"A","Median",16,0
"49",2020-04-18,"A","Median",16,0
"50",2020-04-19,"A","Median",17,0
"51",2020-04-20,"A","Median",16,0
"52",2020-04-21,"A","Median",17,0
"53",2020-04-22,"A","Median",17,0
"54",2020-04-23,"A","Median",17,0
"55",2020-04-24,"A","Median",17,0
"56",2020-04-25,"A","Median",17,0
"57",2020-04-26,"A","Median",17,0
"58",2020-04-27,"A","Median",17,0
"59",2020-04-28,"A","Median",17,0
"60",2020-04-29,"A","Median",17,0
"61",2020-04-30,"A","Median",18,0
"62",2020-05-01,"A","Median",17.5,0
"63",2020-05-02,"A","Median",17,0
"64",2020-05-03,"A","Median",18,0
"65",2020-05-04,"A","Median",18,0
"66",2020-05-05,"A","Median",17,0
"67",2020-05-06,"A","Median",18,0
"68",2020-05-07,"A","Median",18,0
"69",2020-05-08,"A","Median",18,0
"70",2020-05-09,"A","Median",17,0
"71",2020-05-10,"A","Median",19,0
"72",2020-05-11,"A","Median",19,0
"73",2020-05-12,"A","Median",19,0
"74",2020-05-13,"A","Median",21,0
"75",2020-05-14,"A","Median",19,0
"76",2020-05-15,"A","Median",18,0
"77",2020-05-16,"A","Median",19,0
"78",2020-05-17,"A","Median",20,0
"79",2020-05-18,"A","Median",21,0
"80",2020-05-19,"A","Median",20,0
"81",2020-05-20,"A","Median",21,0
"82",2020-05-21,"A","Median",21,0
"83",2020-05-22,"A","Median",21,0
"84",2020-05-23,"A","Median",21,0
"85",2020-05-24,"A","Median",20,0
"86",2020-05-25,"A","Median",21,0
"87",2020-05-26,"A","Median",21,0
"88",2020-05-27,"A","Median",22,0
"89",2020-05-28,"A","Median",22,0
"90",2020-05-29,"A","Median",22,0
"91",2020-05-30,"A","Median",22,0
