"","Time","scenario","summary_stat","incident_hosp","number"
"1",2020-03-01,"A","Median",0,0
"2",2020-03-02,"A","Median",0,0
"3",2020-03-03,"A","Median",0.366408114558473,0
"4",2020-03-04,"A","Median",0.366408114558473,0
"5",2020-03-05,"A","Median",0,0
"6",2020-03-06,"A","Median",0,0
"7",2020-03-07,"A","Median",0.366408114558473,0
"8",2020-03-08,"A","Median",0.366408114558473,0
"9",2020-03-09,"A","Median",0.366408114558473,0
"10",2020-03-10,"A","Median",0.366408114558473,0
"11",2020-03-11,"A","Median",0.366408114558473,0
"12",2020-03-12,"A","Median",0.366408114558473,0
"13",2020-03-13,"A","Median",1.21542909357945,0
"14",2020-03-14,"A","Median",1.58183720813792,0
"15",2020-03-15,"A","Median",1.78983720813792,0
"16",2020-03-16,"A","Median",1.78983720813792,0
"17",2020-03-17,"A","Median",1.78983720813792,0
"18",2020-03-18,"A","Median",1.78983720813792,0
"19",2020-03-19,"A","Median",1.78983720813792,0
"20",2020-03-20,"A","Median",1.78983720813792,0
"21",2020-03-21,"A","Median",1.78983720813792,0
"22",2020-03-22,"A","Median",1.78983720813792,0
"23",2020-03-23,"A","Median",1.78983720813792,0
"24",2020-03-24,"A","Median",1.78983720813792,0
"25",2020-03-25,"A","Median",1.78983720813792,0
"26",2020-03-26,"A","Median",1.78983720813792,0
"27",2020-03-27,"A","Median",1.78983720813792,0
"28",2020-03-28,"A","Median",1.78983720813792,0
"29",2020-03-29,"A","Median",1.78983720813792,0
"30",2020-03-30,"A","Median",1.78983720813792,0
"31",2020-03-31,"A","Median",1.78983720813792,0
"32",2020-04-01,"A","Median",2.07284420114492,0
"33",2020-04-02,"A","Median",2.42401799909838,0
"34",2020-04-03,"A","Median",2.35585119415191,0
"35",2020-04-04,"A","Median",2.67294158963214,0
"36",2020-04-05,"A","Median",2.35585119415191,0
"37",2020-04-06,"A","Median",2.35585119415191,0
"38",2020-04-07,"A","Median",2.35585119415191,0
"39",2020-04-08,"A","Median",2.35585119415191,0
"40",2020-04-09,"A","Median",2.35585119415191,0
"41",2020-04-10,"A","Median",2.35585119415191,0
"42",2020-04-11,"A","Median",2.35585119415191,0
"43",2020-04-12,"A","Median",2.35585119415191,0
"44",2020-04-13,"A","Median",2.35585119415191,0
"45",2020-04-14,"A","Median",2.35585119415191,0
"46",2020-04-15,"A","Median",2.35585119415191,0
"47",2020-04-16,"A","Median",2.35585119415191,0
"48",2020-04-17,"A","Median",2.35585119415191,0
"49",2020-04-18,"A","Median",2.35585119415191,0
"50",2020-04-19,"A","Median",2.35585119415191,0
"51",2020-04-20,"A","Median",2.35585119415191,0
"52",2020-04-21,"A","Median",2.35585119415191,0
"53",2020-04-22,"A","Median",2.35585119415191,0
"54",2020-04-23,"A","Median",2.35585119415191,0
"55",2020-04-24,"A","Median",2.35585119415191,0
"56",2020-04-25,"A","Median",2.35585119415191,0
"57",2020-04-26,"A","Median",2.35585119415191,0
"58",2020-04-27,"A","Median",2.35585119415191,0
"59",2020-04-28,"A","Median",2.35585119415191,0
"60",2020-04-29,"A","Median",2.35585119415191,0
"61",2020-04-30,"A","Median",2.35585119415191,0
"62",2020-05-01,"A","Median",2.35585119415191,0
"63",2020-05-02,"A","Median",2.35585119415191,0
"64",2020-05-03,"A","Median",2.35585119415191,0
"65",2020-05-04,"A","Median",2.6388581871589,0
"66",2020-05-05,"A","Median",2.49735469065541,0
"67",2020-05-06,"A","Median",2.35585119415191,0
"68",2020-05-07,"A","Median",2.6388581871589,0
"69",2020-05-08,"A","Median",2.6388581871589,0
"70",2020-05-09,"A","Median",2.35585119415191,0
"71",2020-05-10,"A","Median",2.6388581871589,0
"72",2020-05-11,"A","Median",2.6388581871589,0
"73",2020-05-12,"A","Median",2.6388581871589,0
"74",2020-05-13,"A","Median",2.35585119415191,0
"75",2020-05-14,"A","Median",3.27303897811935,0
"76",2020-05-15,"A","Median",2.6388581871589,0
"77",2020-05-16,"A","Median",3.27303897811935,0
"78",2020-05-17,"A","Median",3.55604597112635,0
"79",2020-05-18,"A","Median",2.6388581871589,0
"80",2020-05-19,"A","Median",2.6388581871589,0
"81",2020-05-20,"A","Median",2.6388581871589,0
"82",2020-05-21,"A","Median",3.27303897811935,0
"83",2020-05-22,"A","Median",3.27303897811935,0
"84",2020-05-23,"A","Median",3.27303897811935,0
"85",2020-05-24,"A","Median",3.27303897811935,0
"86",2020-05-25,"A","Median",3.27303897811935,0
"87",2020-05-26,"A","Median",3.27303897811935,0
"88",2020-05-27,"A","Median",3.27303897811935,0
"89",2020-05-28,"A","Median",3.27303897811935,0
"90",2020-05-29,"A","Median",3.27303897811935,0
"91",2020-05-30,"A","Median",3.27303897811935,0
"92",2020-05-31,"A","Median",3.55604597112635,0
"93",2020-06-01,"A","Median",3.55604597112635,0
"94",2020-06-02,"A","Median",3.27303897811935,0
"95",2020-06-03,"A","Median",3.55604597112635,0
"96",2020-06-04,"A","Median",3.92245408568482,0
"97",2020-06-05,"A","Median",3.92245408568482,0
