"","Time","scenario","summary_stat","cumulative_vent","number"
"1",2020-03-01,"A","Median",0,0
"2",2020-03-02,"A","Median",0,0
"3",2020-03-03,"A","Median",0.0262649164677804,0
"4",2020-03-04,"A","Median",0.0262649164677804,0
"5",2020-03-05,"A","Median",0.0262649164677804,0
"6",2020-03-06,"A","Median",0.0525298329355609,0
"7",2020-03-07,"A","Median",0.0962772668858588,0
"8",2020-03-08,"A","Median",0.0962772668858588,0
"9",2020-03-09,"A","Median",0.0962772668858588,0
"10",2020-03-10,"A","Median",0.122542183353639,0
"11",2020-03-11,"A","Median",0.166289617303937,0
"12",2020-03-12,"A","Median",0.166289617303937,0
"13",2020-03-13,"A","Median",0.166289617303937,0
"14",2020-03-14,"A","Median",0.166289617303937,0
"15",2020-03-15,"A","Median",0.210037051254235,0
"16",2020-03-16,"A","Median",0.210037051254235,0
"17",2020-03-17,"A","Median",0.378874451134744,0
"18",2020-03-18,"A","Median",0.381788204048497,0
"19",2020-03-19,"A","Median",0.579804273310539,0
"20",2020-03-20,"A","Median",0.624970146977149,0
"21",2020-03-21,"A","Median",0.65123506344493,0
"22",2020-03-22,"A","Median",0.678918419629022,0
"23",2020-03-23,"A","Median",0.89299856665727,0
"24",2020-03-24,"A","Median",0.964429356791661,0
"25",2020-03-25,"A","Median",0.992112712975753,0
"26",2020-03-26,"A","Median",1.03003264109855,0
"27",2020-03-27,"A","Median",1.20761129972031,0
"28",2020-03-28,"A","Median",1.21926631137532,0
"29",2020-03-29,"A","Median",1.22068475109164,0
"30",2020-03-30,"A","Median",1.25860467921443,0
"31",2020-03-31,"A","Median",1.26443218504193,0
"32",2020-04-01,"A","Median",1.29652460733722,0
"33",2020-04-02,"A","Median",1.30817961899223,0
"34",2020-04-03,"A","Median",1.31400712481974,0
"35",2020-04-04,"A","Median",1.31983463064724,0
"36",2020-04-05,"A","Median",1.4959948495527,0
"37",2020-04-06,"A","Median",1.50906830092402,0
"38",2020-04-07,"A","Median",1.51489580675153,0
"39",2020-04-08,"A","Median",1.54698822904682,0
"40",2020-04-09,"A","Median",1.55352495473248,0
"41",2020-04-10,"A","Median",1.58632659688592,0
"42",2020-04-11,"A","Median",1.59798160854093,0
"43",2020-04-12,"A","Median",1.59798160854093,0
"44",2020-04-13,"A","Median",1.60963662019594,0
"45",2020-04-14,"A","Median",1.58337170372816,0
"46",2020-04-15,"A","Median",1.62129163185095,0
"47",2020-04-16,"A","Median",1.59502671538317,0
"48",2020-04-17,"A","Median",1.60668172703819,0
"49",2020-04-18,"A","Median",1.57899837085409,0
"50",2020-04-19,"A","Median",1.59065338250911,0
"51",2020-04-20,"A","Median",1.59065338250911,0
"52",2020-04-21,"A","Median",1.56367924618317,0
"53",2020-04-22,"A","Median",1.57462503798002,0
"54",2020-04-23,"A","Median",1.57462503798002,0
"55",2020-04-24,"A","Median",1.56732008557364,0
"56",2020-04-25,"A","Median",1.55418762733975,0
"57",2020-04-26,"A","Median",1.56001513316726,0
"58",2020-04-27,"A","Median",1.56584263899476,0
"59",2020-04-28,"A","Median",1.5615104463647,0
"60",2020-04-29,"A","Median",1.56442419927845,0
"61",2020-04-30,"A","Median",1.57607921093346,0
"62",2020-05-01,"A","Median",1.57025170510596,0
"63",2020-05-02,"A","Median",1.57025170510596,0
"64",2020-05-03,"A","Median",1.60817163322875,0
"65",2020-05-04,"A","Median",1.60959007294506,0
"66",2020-05-05,"A","Median",1.60959007294506,0
"67",2020-05-06,"A","Median",1.61541757877257,0
"68",2020-05-07,"A","Median",1.64168249524035,0
"69",2020-05-08,"A","Median",1.64751000106785,0
"70",2020-05-09,"A","Median",1.64751000106785,0
"71",2020-05-10,"A","Median",1.6504237539816,0
"72",2020-05-11,"A","Median",1.65333750689536,0
"73",2020-05-12,"A","Median",1.65333750689536,0
"74",2020-05-13,"A","Median",1.65333750689536,0
"75",2020-05-14,"A","Median",1.65333750689536,0
"76",2020-05-15,"A","Median",1.67960242336314,0
"77",2020-05-16,"A","Median",1.68542992919064,0
"78",2020-05-17,"A","Median",1.68542992919064,0
"79",2020-05-18,"A","Median",1.68542992919064,0
"80",2020-05-19,"A","Median",1.6883436821044,0
"81",2020-05-20,"A","Median",1.69125743501815,0
"82",2020-05-21,"A","Median",1.6941711879319,0
"83",2020-05-22,"A","Median",1.72476829702975,0
"84",2020-05-23,"A","Median",1.70433088638947,0
"85",2020-05-24,"A","Median",1.70433088638947,0
"86",2020-05-25,"A","Median",1.73059580285725,0
"87",2020-05-26,"A","Median",1.73059580285725,0
"88",2020-05-27,"A","Median",1.71307214513073,0
"89",2020-05-28,"A","Median",1.73933706159851,0
"90",2020-05-29,"A","Median",1.8113709599036,0
"91",2020-05-30,"A","Median",1.88631861112243,0
"92",2020-05-31,"A","Median",1.91258352759021,0
"93",2020-06-01,"A","Median",1.91258352759021,0
"94",2020-06-02,"A","Median",1.91258352759021,0
"95",2020-06-03,"A","Median",1.91841103341772,0
"96",2020-06-04,"A","Median",1.91841103341772,0
