"","Time","scenario","summary_stat","incident_symptomatic","cum_symp"
"1",2020-03-01,"A","Median",0,0
"2",2020-03-02,"A","Median",0,0
"3",2020-03-03,"A","Median",1,1
"4",2020-03-04,"A","Median",1,2
"5",2020-03-05,"A","Median",1,3
"6",2020-03-06,"A","Median",1,4
"7",2020-03-07,"A","Median",1,5
"8",2020-03-08,"A","Median",1,6
"9",2020-03-09,"A","Median",4,10
"10",2020-03-10,"A","Median",5,15
"11",2020-03-11,"A","Median",6,21
"12",2020-03-12,"A","Median",6,27
"13",2020-03-13,"A","Median",6,33
"14",2020-03-14,"A","Median",6,39
"15",2020-03-15,"A","Median",6,45
"16",2020-03-16,"A","Median",6,51
"17",2020-03-17,"A","Median",6,57
"18",2020-03-18,"A","Median",6,63
"19",2020-03-19,"A","Median",6,69
"20",2020-03-20,"A","Median",6,75
"21",2020-03-21,"A","Median",6,81
"22",2020-03-22,"A","Median",6,87
"23",2020-03-23,"A","Median",6,93
"24",2020-03-24,"A","Median",6,99
"25",2020-03-25,"A","Median",6,105
"26",2020-03-26,"A","Median",6,111
"27",2020-03-27,"A","Median",6,117
"28",2020-03-28,"A","Median",7,124
"29",2020-03-29,"A","Median",7,131
"30",2020-03-30,"A","Median",8,139
"31",2020-03-31,"A","Median",8.5,147.5
"32",2020-04-01,"A","Median",8,155.5
"33",2020-04-02,"A","Median",8,163.5
"34",2020-04-03,"A","Median",8,171.5
"35",2020-04-04,"A","Median",8,179.5
"36",2020-04-05,"A","Median",8,187.5
"37",2020-04-06,"A","Median",8,195.5
"38",2020-04-07,"A","Median",8,203.5
"39",2020-04-08,"A","Median",8,211.5
"40",2020-04-09,"A","Median",8,219.5
"41",2020-04-10,"A","Median",8,227.5
"42",2020-04-11,"A","Median",8,235.5
"43",2020-04-12,"A","Median",8,243.5
"44",2020-04-13,"A","Median",8,251.5
"45",2020-04-14,"A","Median",8,259.5
"46",2020-04-15,"A","Median",8,267.5
"47",2020-04-16,"A","Median",8,275.5
"48",2020-04-17,"A","Median",8,283.5
"49",2020-04-18,"A","Median",8,291.5
"50",2020-04-19,"A","Median",8,299.5
"51",2020-04-20,"A","Median",8,307.5
"52",2020-04-21,"A","Median",8,315.5
"53",2020-04-22,"A","Median",8,323.5
"54",2020-04-23,"A","Median",8,331.5
"55",2020-04-24,"A","Median",8,339.5
"56",2020-04-25,"A","Median",8,347.5
"57",2020-04-26,"A","Median",8,355.5
"58",2020-04-27,"A","Median",8,363.5
"59",2020-04-28,"A","Median",8,371.5
"60",2020-04-29,"A","Median",8,379.5
"61",2020-04-30,"A","Median",9,388.5
"62",2020-05-01,"A","Median",8.5,397
"63",2020-05-02,"A","Median",8,405
"64",2020-05-03,"A","Median",9,414
"65",2020-05-04,"A","Median",9,423
"66",2020-05-05,"A","Median",8,431
"67",2020-05-06,"A","Median",9,440
"68",2020-05-07,"A","Median",9,449
"69",2020-05-08,"A","Median",9,458
"70",2020-05-09,"A","Median",8,466
"71",2020-05-10,"A","Median",10,476
"72",2020-05-11,"A","Median",9,485
"73",2020-05-12,"A","Median",10,495
"74",2020-05-13,"A","Median",11,506
"75",2020-05-14,"A","Median",9,515
"76",2020-05-15,"A","Median",9,524
"77",2020-05-16,"A","Median",9,533
"78",2020-05-17,"A","Median",10,543
"79",2020-05-18,"A","Median",10,553
"80",2020-05-19,"A","Median",10,563
"81",2020-05-20,"A","Median",10,573
"82",2020-05-21,"A","Median",10,583
"83",2020-05-22,"A","Median",10,593
"84",2020-05-23,"A","Median",10,603
"85",2020-05-24,"A","Median",10,613
"86",2020-05-25,"A","Median",10,623
"87",2020-05-26,"A","Median",10,633
"88",2020-05-27,"A","Median",11,644
"89",2020-05-28,"A","Median",11,655
"90",2020-05-29,"A","Median",10,665
"91",2020-05-30,"A","Median",11,676
"92",2020-05-31,"A","Median",12,688
"93",2020-06-01,"A","Median",12,700
"94",2020-06-02,"A","Median",10,710
"95",2020-06-03,"A","Median",11,721
"96",2020-06-04,"A","Median",11,732
"97",2020-06-05,"A","Median",10,742
"98",2020-06-06,"A","Median",11,753
"99",2020-06-07,"A","Median",11,764
"100",2020-06-08,"A","Median",11,775
"101",2020-06-09,"A","Median",11,786
"102",2020-06-10,"A","Median",11,797
"103",2020-06-11,"A","Median",11,808
"104",2020-06-12,"A","Median",11,819
"105",2020-06-13,"A","Median",12,831
"106",2020-06-14,"A","Median",12,843
"107",2020-06-15,"A","Median",11,854
"108",2020-06-16,"A","Median",12,866
"109",2020-06-17,"A","Median",11,877
"110",2020-06-18,"A","Median",12,889
"111",2020-06-19,"A","Median",11,900
"112",2020-06-20,"A","Median",11,911
"113",2020-06-21,"A","Median",12,923
"114",2020-06-22,"A","Median",12,935
"115",2020-06-23,"A","Median",12,947
"116",2020-06-24,"A","Median",11,958
"117",2020-06-25,"A","Median",11,969
"118",2020-06-26,"A","Median",11,980
"119",2020-06-27,"A","Median",11,991
"120",2020-06-28,"A","Median",12,1003
"121",2020-06-29,"A","Median",11,1014
