Date,New Cases,Total Cases
20200312,1,1
20200313,2,3
20200314,3,6
20200315,1,7
20200316,4,11
20200317,13,24
20200318,14,38
20200319,21,59
20200320,20,79
20200321,15,94
20200322,26,120
20200323,22,142
20200324,28,170
20200325,37,207
20200326,43,250
20200327,50,300
20200328,35,335
20200329,38,373
20200330,56,429
20200331,49,478
20200401,44,522
20200402,58,580
20200403,55,635
20200404,35,670
20200405,33,703
20200406,88,791
20200407,67,858
20200408,76,934
20200409,53,987
20200410,51,"1,038"
20200411,37,"1,075"
20200412,113,"1,188"
20200413,61,"1,249"
20200414,87,"1,336"
20200415,76,"1,412"
20200416,90,"1,502"
20200417,114,"1,616"
20200418,35,"1,651"
20200419,46,"1,697"
20200420,85,"1,782"
20200421,101,"1,883"
20200422,84,"1,967"
20200423,74,"2,041"
20200424,103,"2,144"
20200425,61,"2,205"
20200426,25,"2,230"
20200427,84,"2,314"
20200428,84,"2,398"
20200429,110,"2,508"
20200430,96,"2,604"
20200501,94,"2,698"
20200502,80,"2,778"
20200503,51,"2,829"
20200504,112,"2,941"
20200505,92,"3,033"
20200506,98,"3,131"
20200507,93,"3,224"
20200508,89,"3,313"
20200509,56,"3,369"
20200510,38,"3,407"
20200511,58,"3,465"
20200512,40,"3,505"
20200513,9,"3,514"
